State,Agency Name,Latitude,Longitude,ORI,City,Population,Poverty,Poverty Rate,Violent Crime,Property Crime,Violent Crime(Per 100k),Property Crime(Per 100k),Crime Rate(Per 100k)
AK,Anchorage Police Department,61.17425,-149.284329,AK0010100,Anchorage,292545,26182,8.95,3026,8327,1034.37,2846.4,3880.77
AK,Fairbanks Police Department,64.83945,-147.71942,AK0010200,Fairbanks,33018,2769,8.39,190,1287,575.44,3897.87,4473.32
AK,Juneau Police Department,58.356556,-134.50731,AK0010300,Juneau,32240,2293,7.11,172,889,533.5,2757.44,3290.94
AK,Wasilla Police Department,62.182174,-149.407974,AK0015600,Wasilla,9098,1364,14.99,56,380,615.52,4176.74,4792.26
AK,Sitka Police Department,57.052124,-135.33418,AK0010900,Sitka,8518,573,6.73,19,70,223.06,821.79,1044.85
AK,Ketchikan Police Department,55.449938,-131.106685,AK0010400,Ketchikan,8150,981,12.04,24,242,294.48,2969.33,3263.8
AK,Kenai Police Department,60.559402,-151.2507,AK0012300,Kenai,7452,1042,13.98,23,70,308.64,939.35,1247.99
AK,Bethel Police Department,60.928916,-160.15335,AK0011300,Bethel,6273,803,12.8,53,47,844.89,749.24,1594.13
AK,Palmer Police Department,61.602676,-149.11183,AK0011700,Palmer,5978,674,11.27,13,88,217.46,1472.06,1689.53
AK,Kodiak Police Department,57.8049,-152.37332,AK0010500,Kodiak,5682,505,8.89,18,57,316.79,1003.17,1319.96
AK,Homer Police Department,59.64873,-151.52992,AK0012200,Homer,5531,695,12.57,14,66,253.12,1193.27,1446.39
AK,Soldotna Police Department,60.481678,-151.07265,AK0012000,Soldotna,4370,823,18.83,14,89,320.37,2036.61,2356.98
AK,Unalaska Police Department,51.959447,178.338813,AK0013300,Unalaska,4339,280,6.45,7,13,161.33,299.61,460.94
AK,Valdez Police Department,61.34984,-145.023141,AK0011200,Valdez,3966,173,4.36,3,14,75.64,353.0,428.64
AK,Nome Police Department,64.783686,-164.188912,AK0010600,Nome,3685,249,6.76,55,29,1492.54,786.97,2279.51
AK,Petersburg Police Department,55.415683,-132.875734,AK0010700,Petersburg,3259,150,4.6,4,29,122.74,889.84,1012.58
AK,Kotzebue Police Department,67.005066,-160.021086,AK0011600,Kotzebue,3199,465,14.54,43,43,1344.17,1344.17,2688.34
AK,North Pole Police Department,64.75503,-147.35081,AK0013200,North Pole,2825,147,5.2,11,48,389.38,1699.12,2088.5
AK,Seward Police Department,60.366668,-152.322283,AK0010800,Seward,2614,219,8.38,12,41,459.07,1568.48,2027.54
AK,Cordova Police Department,61.34984,-145.023141,AK0011400,Cordova,2588,42,1.62,7,11,270.48,425.04,695.52
AK,Wrangell Police Department,56.279121,-132.040325,AK0011100,Wrangell,2162,258,11.93,6,1,277.52,46.25,323.77
AK,Dillingham Police Department,59.824816,-158.602233,AK0013000,Dillingham,2133,232,10.88,0,0,0.0,0.0,0.0
AK,Haines Police Department,59.098771,-135.576936,AK0012100,Haines,1571,92,5.86,1,6,63.65,381.92,445.58
AK,Skagway Police Department,59.575097,-135.335418,AK0011000,Skagway,1217,64,5.26,3,3,246.51,246.51,493.02
AK,Sand Point Police Department,55.245044,-161.997477,AK0015200,Sand Point,1164,122,10.48,0,0,0.0,0.0,0.0
AL,Huntsville Police Department,34.764238,-86.55108,AL0470100,Huntsville,210081,29379,13.98,292,1589,138.99,756.37,895.37
AL,Birmingham Police Department,33.553444,-86.896536,AL0010200,Birmingham,202234,49752,24.6,3024,9037,1495.3,4468.59,5963.88
AL,Montgomery Police Department,32.20365,-86.203831,AL0030100,Montgomery,201022,41068,20.43,0,0,0.0,0.0,0.0
AL,Mobile Police Department,30.673004,-88.09793,AL0020100,Mobile,187445,36496,19.47,2141,5913,1142.2,3154.53,4296.73
AL,Tuscaloosa Police Department,33.173267,-87.55792,AL0630100,Tuscaloosa,99252,20272,20.42,638,3353,642.81,3378.27,4021.08
AL,Hoover Police Department,33.38795,-86.80636,AL0011200,Hoover,91371,6041,6.61,72,1315,78.8,1439.19,1517.99
AL,Auburn Police Department,32.608086,-85.475136,AL0430100,Auburn,74637,17439,23.37,145,925,194.27,1239.33,1433.61
AL,Dothan Police Department,31.225441,-85.3914,AL0380100,Dothan,70318,12622,17.95,653,2427,928.64,3451.46,4380.1
AL,Decatur Police Department,34.454484,-86.846402,AL0520100,Decatur,57303,8568,14.95,284,1529,495.61,2668.27,3163.88
AL,Madison Police Department,34.6994,-86.74227,AL0470200,Madison,55551,2745,4.94,72,566,129.61,1018.88,1148.49
AL,Florence Police Department,34.904122,-87.650997,AL0410100,Florence,39709,7649,19.26,211,992,531.37,2498.17,3029.54
AL,Vestavia Hills Police Department,33.553444,-86.896536,AL0010900,Vestavia Hills,38504,1475,3.83,29,326,75.32,846.67,921.98
AL,Phenix City Police Department,32.46812,-85.00083,AL0570100,Phenix City,38216,9875,25.84,337,1470,881.83,3846.56,4728.39
AL,Prattville Police Department,32.459705,-86.47263,AL0040100,Prattville,37977,4623,12.17,101,845,265.95,2225.03,2490.98
AL,Gadsden Police Department,34.047648,-86.034522,AL0310200,Gadsden,34317,9110,26.55,208,1304,606.11,3799.87,4405.98
AL,Alabaster Police Department,33.24704,-86.81563,AL0590400,Alabaster,33133,2188,6.6,37,553,111.67,1669.03,1780.7
AL,Opelika Police Department,32.604064,-85.353048,AL0430200,Opelika,30810,5235,16.99,235,957,762.74,3106.13,3868.87
AL,Northport Police Department,33.290202,-87.52286,AL0630200,Northport,30334,4001,13.19,134,571,441.75,1882.38,2324.12
AL,Enterprise Police Department,31.402258,-85.989602,AL0190200,Enterprise,28242,4502,15.94,225,835,796.69,2956.59,3753.28
AL,Daphne Police Department,30.599625,-87.898056,AL0050800,Daphne,27088,2276,8.4,15,353,55.38,1303.16,1358.54
AL,Homewood Police Department,33.479603,-86.791016,AL0011000,Homewood,26206,1908,7.28,48,693,183.16,2644.43,2827.6
AL,Bessemer Police Department,33.396152,-86.95345,AL0010100,Bessemer,26171,7397,28.26,590,1984,2254.4,7580.91,9835.31
AL,Athens Police Department,34.803825,-86.95889,AL0440100,Athens,25213,3362,13.33,67,781,265.74,3097.61,3363.34
AL,Trussville Police Department,33.553444,-86.896536,AL0012100,Trussville,25027,931,3.72,27,536,107.88,2141.69,2249.57
AL,Pelham Police Department,33.262937,-86.678104,AL0590600,Pelham,24134,991,4.11,40,271,165.74,1122.9,1288.64
AR,Little Rock Police Department,34.749084,-92.277565,AR0600200,Little Rock,201893,30881,15.3,3657,11075,1811.36,5485.58,7296.93
AR,Fayetteville Police Department,36.06085,-94.15727,AR0720100,Fayetteville,92070,18074,19.63,426,3280,462.69,3562.51,4025.2
AR,Fort Smith Police Department,35.38317,-94.4234,AR0660100,Fort Smith,89116,16650,18.68,924,3785,1036.85,4247.27,5284.12
AR,Springdale Police Department,36.18645,-94.12982,AR0720200,Springdale,85887,12840,14.95,511,2422,594.97,2819.98,3414.95
AR,Jonesboro Police Department,35.838394,-90.70817,AR0160100,Jonesboro,77520,15173,19.57,517,2674,666.92,3449.43,4116.36
AR,Rogers Police Department,36.337825,-94.256187,AR0040200,Rogers,68340,6524,9.55,273,1188,399.47,1738.37,2137.84
AR,North Little Rock Police Department,34.77923,-92.26978,AR0600300,North Little Rock,64444,13890,21.55,809,2663,1255.35,4132.27,5387.62
AR,Conway Police Department,35.08855,-92.43863,AR0230100,Conway,63746,10892,17.09,382,1720,599.25,2698.21,3297.46
AR,Bentonville Police Department,36.38833,-94.21991,AR0040100,Bentonville,52565,3691,7.02,150,652,285.36,1240.37,1525.73
AR,Pine Bluff Police Department,34.221638,-92.00195,AR0350100,Pine Bluff,41964,9010,21.47,643,1906,1532.27,4541.99,6074.25
AR,Hot Springs Police Department,34.578861,-93.146915,AR0260100,Hot Springs,38050,7456,19.6,198,2302,520.37,6049.93,6570.3
AR,Benton Police Department,34.56359,-92.585594,AR0630100,Benton,34746,3684,10.6,172,956,495.02,2751.4,3246.42
AR,Sherwood Police Department,34.832664,-92.209816,AR0600400,Sherwood,32544,2507,7.7,190,762,583.82,2341.45,2925.27
AR,Bella Vista Police Department,36.337825,-94.256187,AR0042100,Bella Vista,29818,977,3.28,48,124,160.98,415.86,576.83
AR,Texarkana Police Department,33.421623,-94.04305,AR0460100,Texarkana,29492,6084,20.63,273,1148,925.67,3892.58,4818.26
AR,Jacksonville Police Department,34.867607,-92.12715,AR0600100,Jacksonville,29385,5443,18.52,326,1240,1109.41,4219.84,5329.25
AR,Paragould Police Department,36.119922,-90.565241,AR0280100,Paragould,29327,5155,17.58,384,1109,1309.37,3781.5,5090.87
AR,Russellville Police Department,35.28542,-93.13359,AR0580100,Russellville,29057,5451,18.76,159,610,547.2,2099.32,2646.52
AR,Cabot Police Department,34.755114,-91.894132,AR0430200,Cabot,26411,2979,11.28,110,523,416.49,1980.24,2396.73
AR,West Memphis Police Department,35.146515,-90.17703,AR0180100,West Memphis,24666,6117,24.8,581,1158,2355.47,4694.72,7050.19
AR,Van Buren Police Department,35.438732,-94.348175,AR0170100,Van Buren,23213,4296,18.51,82,684,353.25,2946.62,3299.88
AR,Searcy Police Department,35.254722,-91.753158,AR0730100,Searcy,23074,4162,18.04,106,761,459.39,3298.08,3757.48
AR,Bryant Police Department,34.61423,-92.49969,AR0630200,Bryant,20399,992,4.86,29,563,142.16,2759.94,2902.1
AR,Maumelle Police Department,34.773988,-92.316515,AR0601600,Maumelle,19070,1112,5.83,44,219,230.73,1148.4,1379.13
AR,Centerton Police Department,36.337825,-94.256187,AR0041300,Centerton,17455,929,5.32,53,86,303.64,492.7,796.33
AZ,Phoenix Police Department,33.44825,-112.0817,AZ0072300,Phoenix,1591119,241238,15.16,13040,41432,819.55,2603.95,3423.5
AZ,Chandler Police Department,33.300625,-111.8382,AZ0070500,Chandler,272439,20397,7.49,492,4085,180.59,1499.42,1680.01
AZ,Gilbert Police Department,33.330627,-111.78834,AZ0071100,Gilbert,262249,14013,5.34,328,2613,125.07,996.38,1121.45
AZ,Glendale Police Department,33.536736,-112.18246,AZ0071300,Glendale,245685,41884,17.05,1446,7356,588.56,2994.08,3582.64
AZ,Scottsdale Police Department,33.5695,-111.88542,AZ0072500,Scottsdale,238685,15978,6.69,405,5391,169.68,2258.63,2428.31
AZ,Peoria Police Department,33.346541,-112.495534,AZ0072100,Peoria,187733,15740,8.38,427,2608,227.45,1389.21,1616.66
AZ,Tempe Police Department,33.346541,-112.495534,AZ0072900,Tempe,178862,30594,17.1,953,6734,532.81,3764.91,4297.73
AZ,Surprise Police Department,33.346541,-112.495534,AZ0072700,Surprise,141875,10580,7.46,164,1996,115.59,1406.87,1522.47
AZ,Yuma Police Department,32.700336,-114.62042,AZ0140500,Yuma,95154,15774,16.58,460,1477,483.43,1552.22,2035.65
AZ,Goodyear Police Department,33.490746,-112.362495,AZ0071500,Goodyear,93651,5701,6.09,178,1812,190.07,1934.84,2124.91
AZ,Buckeye Police Department,33.375275,-112.573135,AZ0070300,Buckeye,89711,6900,7.69,206,939,229.63,1046.69,1276.32
AZ,Avondale Police Department,33.346541,-112.495534,AZ0070100,Avondale,88065,10165,11.54,430,2299,488.28,2610.57,3098.85
AZ,Flagstaff Police Department,35.188972,-111.64146,AZ0030100,Flagstaff,76228,11064,14.51,304,1674,398.8,2196.04,2594.85
AZ,Maricopa Police Department,32.919038,-111.367005,AZ0111700,Maricopa,57075,3896,6.83,180,551,315.37,965.4,1280.77
AZ,Lake Havasu City Police Department,34.47879,-114.31841,AZ0080400,Lake Havasu City,56510,6643,11.76,172,745,304.37,1318.35,1622.72
AZ,Casa Grande Police Department,32.878384,-111.751495,AZ0110100,Casa Grande,53488,7506,14.03,338,1327,631.92,2480.93,3112.85
AZ,Marana Police Department,32.447636,-111.20846,AZ0100900,Marana,50834,2823,5.55,49,1038,96.39,2041.94,2138.33
AZ,Oro Valley Police Department,32.406918,-110.99574,AZ0100700,Oro Valley,46515,3122,6.71,28,558,60.2,1199.61,1259.81
AZ,Prescott Valley Police Department,34.59638,-112.33222,AZ0131100,Prescott Valley,46014,5323,11.57,133,468,289.04,1017.08,1306.12
AZ,Prescott Police Department,34.630044,-112.573745,AZ0130700,Prescott,45063,4856,10.78,170,701,377.25,1555.6,1932.85
AZ,Sierra Vista Police Department,31.56594,-110.27322,AZ0020900,Sierra Vista,44944,4731,10.53,100,729,222.5,1622.02,1844.52
AZ,Bullhead City Police Department,35.717705,-113.749689,AZ0080500,Bullhead City,41064,8144,19.83,190,905,462.69,2203.88,2666.57
