,Total aggravated-assault,Clearances,Crime(Per 100k),Prosecutions(Per 100k),Pros/Perc,Total Pop,Partic Pop,Pop Coverage
2000-01-01,56959,31082,22.36,12.2,0.55,281421906,254741154,90.52
2000-02-01,54438,30344,21.41,11.93,0.56,281421906,254315123,90.37
2000-03-01,62828,33743,24.73,13.28,0.54,281421906,254039019,90.27
2000-04-01,63523,33198,25.03,13.08,0.52,281421906,253740964,90.16
2000-05-01,69954,36456,27.59,14.38,0.52,281421906,253586618,90.11
2000-06-01,83005,35174,32.72,13.86,0.42,281421906,253720224,90.16
2000-07-01,71762,36549,28.42,14.47,0.51,281421906,252526837,89.73
2000-08-01,68631,35935,27.24,14.26,0.52,281421906,251948320,89.53
2000-09-01,65110,34243,25.84,13.59,0.53,281421906,252012614,89.55
2000-10-01,64112,33828,25.53,13.47,0.53,281421906,251103241,89.23
2000-11-01,54839,29484,21.87,11.76,0.54,281421906,250695451,89.08
2000-12-01,143636,97264,57.38,38.86,0.68,281421906,250309101,88.94
2001-01-01,56365,31792,21.71,12.24,0.56,284796887,259641366,91.17
2001-02-01,50725,28921,19.56,11.15,0.57,284796887,259370715,91.07
2001-03-01,61147,33439,23.59,12.9,0.55,284796887,259250006,91.03
2001-04-01,64005,33964,24.72,13.12,0.53,284796887,258935694,90.92
2001-05-01,67656,35297,26.18,13.66,0.52,284796887,258454389,90.75
2001-06-01,83209,38686,32.22,14.98,0.46,284796887,258267665,90.68
2001-07-01,71706,36338,27.79,14.08,0.51,284796887,258067654,90.61
2001-08-01,67698,34553,26.28,13.41,0.51,284796887,257611227,90.45
2001-09-01,66561,33134,25.84,12.86,0.5,284796887,257580604,90.44
2001-10-01,65279,33817,25.41,13.16,0.52,284796887,256898230,90.2
2001-11-01,58009,29757,22.54,11.56,0.51,284796887,257333645,90.36
2001-12-01,144996,81059,56.56,31.62,0.56,284796887,256360679,90.02
2002-01-01,56040,31083,20.97,11.63,0.55,288368698,267197533,92.66
2002-02-01,50238,27186,18.83,10.19,0.54,288368698,266775775,92.51
2002-03-01,60055,32189,22.53,12.08,0.54,288368698,266560966,92.44
2002-04-01,62861,34528,23.6,12.96,0.55,288368698,266360847,92.37
2002-05-01,67037,36046,25.2,13.55,0.54,288368698,266043657,92.26
2002-06-01,83422,40325,31.38,15.17,0.48,288368698,265867503,92.2
2002-07-01,68105,34358,25.61,12.92,0.5,288368698,265892875,92.21
2002-08-01,67019,35454,25.21,13.34,0.53,288368698,265791299,92.17
2002-09-01,76427,34323,28.79,12.93,0.45,288368698,265487393,92.07
2002-10-01,59297,32015,22.37,12.08,0.54,288368698,265017748,91.9
2002-11-01,51923,27440,19.61,10.36,0.53,288368698,264770687,91.82
2002-12-01,148591,78124,56.14,29.52,0.53,288368698,264656793,91.78
2003-01-01,51237,27589,19.0,10.23,0.54,290809777,269658252,92.73
2003-02-01,43717,26417,16.29,9.84,0.6,290809777,268429754,92.3
2003-03-01,64469,31634,23.97,11.76,0.49,290809777,268968934,92.49
2003-04-01,57878,30173,21.62,11.27,0.52,290809777,267660991,92.04
2003-05-01,62623,32738,23.43,12.25,0.52,290809777,267239198,91.89
2003-06-01,84138,37297,31.52,13.97,0.44,290809777,266936170,91.79
2003-07-01,64425,32889,24.18,12.35,0.51,290809777,266401781,91.61
2003-08-01,64059,32661,24.06,12.27,0.51,290809777,266290613,91.57
2003-09-01,68050,32255,25.57,12.12,0.47,290809777,266141867,91.52
2003-10-01,58999,31047,22.16,11.66,0.53,290809777,266194700,91.54
2003-11-01,51912,27557,19.53,10.37,0.53,290809777,265821183,91.41
2003-12-01,143328,74177,54.07,27.98,0.52,290809777,265089169,91.16
2004-01-01,51090,27632,18.5,10.0,0.54,293655404,276203773,94.06
2004-02-01,48101,26452,17.43,9.58,0.55,293655404,276002127,93.99
2004-03-01,65367,30892,23.72,11.21,0.47,293655404,275601619,93.85
2004-04-01,58315,30992,21.17,11.25,0.53,293655404,275441342,93.8
2004-05-01,64529,33228,23.43,12.07,0.51,293655404,275406977,93.79
2004-06-01,85915,40338,31.25,14.67,0.47,293655404,274958264,93.63
2004-07-01,64055,32883,23.34,11.98,0.51,293655404,274486608,93.47
2004-08-01,62170,32513,22.68,11.86,0.52,293655404,274150903,93.36
2004-09-01,67115,31149,24.54,11.39,0.46,293655404,273445932,93.12
2004-10-01,58152,30635,21.23,11.19,0.53,293655404,273893074,93.27
2004-11-01,51065,26801,18.69,9.81,0.52,293655404,273236328,93.05
2004-12-01,143619,73595,52.55,26.93,0.51,293655404,273286189,93.06
2005-01-01,52361,27726,18.84,9.97,0.53,296410404,277998335,93.79
2005-02-01,46265,24650,16.67,8.88,0.53,296410404,277610250,93.66
2005-03-01,62208,29100,22.44,10.5,0.47,296410404,277203187,93.52
2005-04-01,59212,30649,21.38,11.06,0.52,296410404,276994196,93.45
2005-05-01,64205,32483,23.2,11.74,0.51,296410404,276772196,93.37
2005-06-01,87869,39570,31.77,14.31,0.45,296410404,276584627,93.31
2005-07-01,67248,33908,24.36,12.28,0.5,296410404,276112869,93.15
2005-08-01,63786,33620,23.13,12.19,0.53,296410404,275793812,93.04
2005-09-01,68982,32179,25.05,11.68,0.47,296410404,275402725,92.91
2005-10-01,59443,30420,21.61,11.06,0.51,296410404,275127933,92.82
2005-11-01,52082,27941,18.94,10.16,0.54,296410404,274999351,92.78
2005-12-01,140899,76735,51.26,27.92,0.54,296410404,274851887,92.73
2006-01-01,57158,29290,19.89,10.19,0.51,299398484,287438196,96.01
2006-02-01,48833,25616,17.02,8.93,0.52,299398484,286931187,95.84
2006-03-01,64922,29660,22.63,10.34,0.46,299398484,286906632,95.83
2006-04-01,62255,30592,21.75,10.69,0.49,299398484,286275551,95.62
2006-05-01,66570,33108,23.2,11.54,0.5,299398484,286904762,95.83
2006-06-01,90110,40039,31.45,13.98,0.44,299398484,286479504,95.69
2006-07-01,70289,34033,24.53,11.88,0.48,299398484,286538183,95.7
2006-08-01,65032,32914,22.68,11.48,0.51,299398484,286752482,95.78
2006-09-01,68790,31080,24.01,10.85,0.45,299398484,286531259,95.7
2006-10-01,60186,30596,21.01,10.68,0.51,299398484,286455971,95.68
2006-11-01,52892,27561,18.48,9.63,0.52,299398484,286269912,95.62
2006-12-01,142331,72088,49.71,25.18,0.51,299398484,286303155,95.63
2007-01-01,52434,26785,18.0,9.19,0.51,301621157,291321863,96.59
2007-02-01,47229,24765,16.22,8.51,0.52,301621157,291151776,96.53
2007-03-01,68500,30559,23.55,10.51,0.45,301621157,290845305,96.43
2007-04-01,59908,29916,20.61,10.29,0.5,301621157,290712120,96.38
2007-05-01,67809,33068,23.34,11.38,0.49,301621157,290561967,96.33
2007-06-01,92129,39705,31.68,13.65,0.43,301621157,290855727,96.43
2007-07-01,67762,33083,23.3,11.38,0.49,301621157,290776630,96.4
2007-08-01,65158,33027,22.43,11.37,0.51,301621157,290530730,96.32
2007-09-01,70941,30911,24.44,10.65,0.44,301621157,290290508,96.24
2007-10-01,60385,30264,20.8,10.43,0.5,301621157,290253048,96.23
2007-11-01,52510,26799,18.12,9.25,0.51,301621157,289785425,96.08
2007-12-01,140605,72988,48.61,25.23,0.52,301621157,289266728,95.9
2008-01-01,52354,28234,17.79,9.59,0.54,304059724,294343215,96.8
2008-02-01,48034,25898,16.34,8.81,0.54,304059724,293930032,96.67
2008-03-01,64529,29271,21.92,9.94,0.45,304059724,294347025,96.81
2008-04-01,58888,30105,20.01,10.23,0.51,304059724,294353363,96.81
2008-05-01,64320,32222,21.86,10.95,0.5,304059724,294198906,96.76
2008-06-01,88018,41366,29.94,14.07,0.47,304059724,293954456,96.68
2008-07-01,66828,33852,22.73,11.51,0.51,304059724,294058806,96.71
2008-08-01,65076,31573,22.13,10.74,0.49,304059724,294038028,96.7
2008-09-01,68907,31776,23.44,10.81,0.46,304059724,293934875,96.67
2008-10-01,58974,30169,20.08,10.27,0.51,304059724,293671771,96.58
2008-11-01,52917,26620,18.02,9.06,0.5,304059724,293731181,96.6
2008-12-01,136267,71482,46.42,24.35,0.52,304059724,293527891,96.54
2009-01-01,51029,27511,17.13,9.24,0.54,307006550,297872157,97.02
2009-02-01,46395,25254,15.57,8.48,0.54,307006550,297902742,97.03
2009-03-01,63391,30093,21.29,10.11,0.47,307006550,297701439,96.97
2009-04-01,57842,29514,19.44,9.92,0.51,307006550,297505478,96.91
2009-05-01,64026,31583,21.51,10.61,0.49,307006550,297612822,96.94
2009-06-01,84098,42305,28.27,14.22,0.5,307006550,297467155,96.89
2009-07-01,63084,33010,21.23,11.11,0.52,307006550,297149727,96.79
2009-08-01,62508,31730,21.05,10.69,0.51,307006550,296914289,96.71
2009-09-01,65277,30058,22.01,10.13,0.46,307006550,296600302,96.61
2009-10-01,54740,29050,18.47,9.8,0.53,307006550,296413155,96.55
2009-11-01,50625,26083,17.11,8.82,0.52,307006550,295873229,96.37
2009-12-01,130900,68773,44.22,23.23,0.53,307006550,296009686,96.42
2010-01-01,50205,27254,16.54,8.98,0.54,308745538,303465956,98.29
2010-02-01,43069,23859,14.2,7.87,0.55,308745538,303225863,98.21
2010-03-01,62129,29220,20.49,9.64,0.47,308745538,303254029,98.22
2010-04-01,57581,29378,19.01,9.7,0.51,308745538,302926451,98.12
2010-05-01,62166,31558,20.53,10.42,0.51,308745538,302829979,98.08
2010-06-01,82004,38181,27.09,12.61,0.47,308745538,302746152,98.06
2010-07-01,61593,31794,20.37,10.52,0.52,308745538,302335128,97.92
2010-08-01,60739,31596,20.1,10.46,0.52,308745538,302209118,97.88
2010-09-01,64493,30366,21.36,10.06,0.47,308745538,301962050,97.8
2010-10-01,56593,29042,18.78,9.64,0.51,308745538,301354323,97.61
2010-11-01,48341,25785,16.05,8.56,0.53,308745538,301146767,97.54
2010-12-01,120597,63907,40.15,21.28,0.53,308745538,300330199,97.27
2011-01-01,47922,26119,15.67,8.54,0.55,311591917,305869067,98.16
2011-02-01,41933,23377,13.71,7.65,0.56,311591917,305762224,98.13
2011-03-01,59990,28189,19.62,9.22,0.47,311591917,305797962,98.14
2011-04-01,55278,28508,18.07,9.32,0.52,311591917,305843337,98.16
2011-05-01,59506,30545,19.46,9.99,0.51,311591917,305734739,98.12
2011-06-01,88802,43930,29.05,14.37,0.49,311591917,305705196,98.11
2011-07-01,62430,31828,20.43,10.41,0.51,311591917,305605183,98.08
2011-08-01,58859,30919,19.28,10.13,0.53,311591917,305291489,97.98
2011-09-01,63331,29335,20.77,9.62,0.46,311591917,304960684,97.87
2011-10-01,54129,28058,17.76,9.2,0.52,311591917,304814697,97.82
2011-11-01,48013,25212,15.77,8.28,0.53,311591917,304525101,97.73
2011-12-01,102031,53250,33.53,17.5,0.52,311591917,304330525,97.67
2012-01-01,49452,27008,16.0,8.74,0.55,313914040,308979088,98.43
2012-02-01,44294,24545,14.34,7.95,0.55,313914040,308909956,98.41
2012-03-01,62946,28833,20.38,9.34,0.46,313914040,308845956,98.39
2012-04-01,54967,28703,17.8,9.3,0.52,313914040,308788257,98.37
2012-05-01,60312,31306,19.56,10.15,0.52,313914040,308385008,98.24
2012-06-01,75231,35152,24.42,11.41,0.47,313914040,308084649,98.14
2012-07-01,62096,31845,20.16,10.34,0.51,313914040,307975035,98.11
2012-08-01,60067,31333,19.52,10.18,0.52,313914040,307719975,98.03
2012-09-01,65656,29640,21.36,9.64,0.45,313914040,307384985,97.92
2012-10-01,52447,27987,17.07,9.11,0.53,313914040,307230148,97.87
2012-11-01,47737,25120,15.55,8.18,0.53,313914040,306921402,97.77
2012-12-01,117053,59755,38.19,19.5,0.51,313914040,306513534,97.64
2013-01-01,50627,29031,16.3,9.35,0.57,316128839,310576794,98.24
2013-02-01,43565,25477,14.04,8.21,0.58,316128839,310271080,98.15
2013-03-01,52481,29099,16.93,9.39,0.55,316128839,309972605,98.05
2013-04-01,54790,29895,17.7,9.66,0.55,316128839,309523762,97.91
2013-05-01,61178,33254,19.77,10.74,0.54,316128839,309498578,97.9
2013-06-01,71348,38230,23.07,12.36,0.54,316128839,309294212,97.84
2013-07-01,61478,33138,19.97,10.76,0.54,316128839,307854935,97.38
2013-08-01,60719,32664,19.74,10.62,0.54,316128839,307621926,97.31
2013-09-01,56620,30877,18.43,10.05,0.55,316128839,307268375,97.2
2013-10-01,52991,29572,17.25,9.62,0.56,316128839,307255556,97.19
2013-11-01,48729,26749,15.88,8.72,0.55,316128839,306817072,97.05
2013-12-01,98954,57159,32.47,18.75,0.58,316128839,304776218,96.41
2014-01-01,47913,28000,15.34,8.96,0.58,318857056,312343277,97.96
2014-02-01,42948,25123,13.77,8.05,0.58,318857056,311975750,97.84
2014-03-01,53328,29270,17.14,9.41,0.55,318857056,311115241,97.57
2014-04-01,55517,30254,17.86,9.73,0.54,318857056,310864345,97.49
2014-05-01,61379,32692,19.77,10.53,0.53,318857056,310519028,97.39
2014-06-01,69137,36427,22.31,11.75,0.53,318857056,309932837,97.2
2014-07-01,61283,32303,19.77,10.42,0.53,318857056,309957772,97.21
2014-08-01,61449,31698,19.85,10.24,0.52,318857056,309592091,97.09
2014-09-01,56664,30048,18.3,9.7,0.53,318857056,309691885,97.13
2014-10-01,55493,29651,17.93,9.58,0.53,318857056,309549608,97.08
