Month,Total Crimes,Clearances,Prosecuted %,Crime(Per 100k),Prosecutions(Per 100k),Total Pop,Partic Pop,Pop Coverage
2000-01-01,4890,789,0.16,1.92,0.31,281421906,254741154,90.52
2000-02-01,4237,710,0.17,1.67,0.28,281421906,254315123,90.37
2000-03-01,5263,831,0.16,2.07,0.33,281421906,254039019,90.27
2000-04-01,5062,779,0.15,1.99,0.31,281421906,253740964,90.16
2000-05-01,5597,853,0.15,2.21,0.34,281421906,253586618,90.11
2000-06-01,6917,936,0.14,2.73,0.37,281421906,253720224,90.16
2000-07-01,6664,997,0.15,2.64,0.39,281421906,252526837,89.73
2000-08-01,6252,939,0.15,2.48,0.37,281421906,251948320,89.53
2000-09-01,5583,889,0.16,2.22,0.35,281421906,252012614,89.55
2000-10-01,5667,864,0.15,2.26,0.34,281421906,251103241,89.23
2000-11-01,4774,695,0.15,1.9,0.28,281421906,250695451,89.08
2000-12-01,8560,1321,0.15,3.42,0.53,281421906,250309101,88.94
2001-01-01,5403,800,0.15,2.08,0.31,284796887,259641366,91.17
2001-02-01,4644,815,0.18,1.79,0.31,284796887,259370715,91.07
2001-03-01,5569,964,0.17,2.15,0.37,284796887,259250006,91.03
2001-04-01,6127,988,0.16,2.37,0.38,284796887,258935694,90.92
2001-05-01,6793,1177,0.17,2.63,0.46,284796887,258454389,90.75
2001-06-01,7955,1126,0.14,3.08,0.44,284796887,258267665,90.68
2001-07-01,7656,1139,0.15,2.97,0.44,284796887,258067654,90.61
2001-08-01,6845,1040,0.15,2.66,0.4,284796887,257611227,90.45
2001-09-01,6266,931,0.15,2.43,0.36,284796887,257580604,90.44
2001-10-01,6600,985,0.15,2.57,0.38,284796887,256898230,90.2
2001-11-01,6072,851,0.14,2.36,0.33,284796887,257333645,90.36
2001-12-01,9110,1410,0.15,3.55,0.55,284796887,256360679,90.02
2002-01-01,5882,1069,0.18,2.2,0.4,288368698,267197533,92.66
2002-02-01,5130,922,0.18,1.92,0.35,288368698,266775775,92.51
2002-03-01,5754,1064,0.18,2.16,0.4,288368698,266560966,92.44
2002-04-01,5749,942,0.16,2.16,0.35,288368698,266360847,92.37
2002-05-01,6218,1095,0.18,2.34,0.41,288368698,266043657,92.26
2002-06-01,7306,1069,0.15,2.75,0.4,288368698,265867503,92.2
2002-07-01,7322,1155,0.16,2.75,0.43,288368698,265892875,92.21
2002-08-01,6403,954,0.15,2.41,0.36,288368698,265791299,92.17
2002-09-01,6214,982,0.16,2.34,0.37,288368698,265487393,92.07
2002-10-01,5600,842,0.15,2.11,0.32,288368698,265017748,91.9
2002-11-01,5142,834,0.16,1.94,0.31,288368698,264770687,91.82
2002-12-01,10428,1355,0.13,3.94,0.51,288368698,264656793,91.78
