,Total larceny,Clearances,Crime(Per 100k),Prosecutions(Per 100k),Pros/Perc,Total Pop,Partic Pop,Pop Coverage
2000-01-01,439488,77771,172.52,30.53,0.18,281421906,254741154,90.52
2000-02-01,421592,76617,165.78,30.13,0.18,281421906,254315123,90.37
2000-03-01,477851,85067,188.1,33.49,0.18,281421906,254039019,90.27
2000-04-01,455380,77750,179.47,30.64,0.17,281421906,253740964,90.16
2000-05-01,496039,82168,195.61,32.4,0.17,281421906,253586618,90.11
2000-06-01,600370,81577,236.63,32.15,0.14,281421906,253720224,90.16
2000-07-01,526358,78805,208.44,31.21,0.15,281421906,252526837,89.73
2000-08-01,527355,82430,209.31,32.72,0.16,281421906,251948320,89.53
2000-09-01,490466,77685,194.62,30.83,0.16,281421906,252012614,89.55
2000-10-01,500358,80545,199.26,32.08,0.16,281421906,251103241,89.23
2000-11-01,455161,76642,181.56,30.57,0.17,281421906,250695451,89.08
2000-12-01,1013139,199316,404.76,79.63,0.2,281421906,250309101,88.94
2001-01-01,456745,79742,175.91,30.71,0.17,284796887,259641366,91.17
2001-02-01,401613,72310,154.84,27.88,0.18,284796887,259370715,91.07
2001-03-01,466998,82749,180.13,31.92,0.18,284796887,259250006,91.03
2001-04-01,472815,79199,182.6,30.59,0.17,284796887,258935694,90.92
2001-05-01,508347,82508,196.69,31.92,0.16,284796887,258454389,90.75
2001-06-01,606743,87222,234.93,33.77,0.14,284796887,258267665,90.68
2001-07-01,537417,81436,208.25,31.56,0.15,284796887,258067654,90.61
2001-08-01,538016,82828,208.85,32.15,0.15,284796887,257611227,90.45
2001-09-01,500749,76149,194.4,29.56,0.15,284796887,257580604,90.44
2001-10-01,535311,82787,208.37,32.23,0.15,284796887,256898230,90.2
2001-11-01,488929,79914,190.0,31.05,0.16,284796887,257333645,90.36
2001-12-01,1061834,191929,414.2,74.87,0.18,284796887,256360679,90.02
2002-01-01,483511,85277,180.96,31.92,0.18,288368698,267197533,92.66
2002-02-01,417271,76496,156.41,28.67,0.18,288368698,266775775,92.51
2002-03-01,469242,85594,176.04,32.11,0.18,288368698,266560966,92.44
2002-04-01,482570,85268,181.17,32.01,0.18,288368698,266360847,92.37
2002-05-01,508497,87443,191.13,32.87,0.17,288368698,266043657,92.26
2002-06-01,602072,89946,226.46,33.83,0.15,288368698,265867503,92.2
2002-07-01,535763,83156,201.5,31.27,0.16,288368698,265892875,92.21
2002-08-01,531844,84122,200.1,31.65,0.16,288368698,265791299,92.17
2002-09-01,537935,80402,202.62,30.28,0.15,288368698,265487393,92.07
2002-10-01,513174,86002,193.64,32.45,0.17,288368698,265017748,91.9
2002-11-01,460509,79335,173.93,29.96,0.17,288368698,264770687,91.82
2002-12-01,1087478,201439,410.9,76.11,0.19,288368698,264656793,91.78
2003-01-01,455296,79314,168.84,29.41,0.17,290809777,269658252,92.73
2003-02-01,388082,72163,144.57,26.88,0.19,290809777,268429754,92.3
2003-03-01,499931,83486,185.87,31.04,0.17,290809777,268968934,92.49
2003-04-01,477656,81585,178.46,30.48,0.17,290809777,267660991,92.04
2003-05-01,500655,84417,187.34,31.59,0.17,290809777,267239198,91.89
2003-06-01,624081,90732,233.79,33.99,0.15,290809777,266936170,91.79
2003-07-01,530111,82424,198.99,30.94,0.16,290809777,266401781,91.61
2003-08-01,519438,80373,195.06,30.18,0.15,290809777,266290613,91.57
2003-09-01,537680,81261,202.03,30.53,0.15,290809777,266141867,91.52
2003-10-01,508287,84388,190.95,31.7,0.17,290809777,266194700,91.54
2003-11-01,455842,78105,171.48,29.38,0.17,290809777,265821183,91.41
2003-12-01,1080148,202651,407.47,76.45,0.19,290809777,265089169,91.16
2004-01-01,451809,81698,163.58,29.58,0.18,293655404,276203773,94.06
2004-02-01,410120,77001,148.59,27.9,0.19,293655404,276002127,93.99
2004-03-01,512021,88117,185.78,31.97,0.17,293655404,275601619,93.85
2004-04-01,471515,83104,171.19,30.17,0.18,293655404,275441342,93.8
2004-05-01,495846,84050,180.04,30.52,0.17,293655404,275406977,93.79
2004-06-01,641335,97895,233.25,35.6,0.15,293655404,274958264,93.63
2004-07-01,520337,83163,189.57,30.3,0.16,293655404,274486608,93.47
2004-08-01,517168,84187,188.64,30.71,0.16,293655404,274150903,93.36
2004-09-01,522383,80787,191.04,29.54,0.15,293655404,273445932,93.12
2004-10-01,505209,83387,184.45,30.45,0.17,293655404,273893074,93.27
2004-11-01,468059,79834,171.3,29.22,0.17,293655404,273236328,93.05
2004-12-01,1062820,195530,388.9,71.55,0.18,293655404,273286189,93.06
2005-01-01,440382,78273,158.41,28.16,0.18,296410404,277998335,93.79
2005-02-01,392705,72376,141.46,26.07,0.18,296410404,277610250,93.66
2005-03-01,489375,84787,176.54,30.59,0.17,296410404,277203187,93.52
2005-04-01,470654,81860,169.91,29.55,0.17,296410404,276994196,93.45
2005-05-01,493952,84972,178.47,30.7,0.17,296410404,276772196,93.37
2005-06-01,635432,96179,229.74,34.77,0.15,296410404,276584627,93.31
2005-07-01,516814,82708,187.17,29.95,0.16,296410404,276112869,93.15
2005-08-01,527870,85247,191.4,30.91,0.16,296410404,275793812,93.04
2005-09-01,516159,79147,187.42,28.74,0.15,296410404,275402725,92.91
2005-10-01,494367,82231,179.69,29.89,0.17,296410404,275127933,92.82
2005-11-01,449092,77136,163.31,28.05,0.17,296410404,274999351,92.78
2005-12-01,977136,179459,355.51,65.29,0.18,296410404,274851887,92.73
2006-01-01,464719,79101,161.68,27.52,0.17,299398484,287438196,96.01
2006-02-01,387616,69127,135.09,24.09,0.18,299398484,286931187,95.84
2006-03-01,483123,77384,168.39,26.97,0.16,299398484,286906632,95.83
2006-04-01,451825,72068,157.83,25.17,0.16,299398484,286275551,95.62
2006-05-01,495197,79031,172.6,27.55,0.16,299398484,286904762,95.83
2006-06-01,634026,90051,221.32,31.43,0.14,299398484,286479504,95.69
2006-07-01,511484,76183,178.5,26.59,0.15,299398484,286538183,95.7
2006-08-01,516992,79726,180.29,27.8,0.15,299398484,286752482,95.78
2006-09-01,509195,76228,177.71,26.6,0.15,299398484,286531259,95.7
2006-10-01,484499,79697,169.14,27.82,0.16,299398484,286455971,95.68
2006-11-01,450471,76852,157.36,26.85,0.17,299398484,286269912,95.62
2006-12-01,978950,173777,341.93,60.7,0.18,299398484,286303155,95.63
2007-01-01,444147,76026,152.46,26.1,0.17,301621157,291321863,96.59
2007-02-01,371356,67049,127.55,23.03,0.18,301621157,291151776,96.53
2007-03-01,482666,80384,165.95,27.64,0.17,301621157,290845305,96.43
