,Total motor-vehicle-theft,Clearances,Crime(Per 100k),Prosecutions(Per 100k),Pros/Perc,Total Pop,Partic Pop,Pop Coverage
2000-01-01,81434,10442,31.97,4.1,0.13,281421906,254741154,90.52
2000-02-01,74199,9707,29.18,3.82,0.13,281421906,254315123,90.37
2000-03-01,80952,10819,31.87,4.26,0.13,281421906,254039019,90.27
2000-04-01,75912,9297,29.92,3.66,0.12,281421906,253740964,90.16
2000-05-01,81478,10444,32.13,4.12,0.13,281421906,253586618,90.11
2000-06-01,102169,10589,40.27,4.17,0.1,281421906,253720224,90.16
2000-07-01,88553,11268,35.07,4.46,0.13,281421906,252526837,89.73
2000-08-01,90176,11374,35.79,4.51,0.13,281421906,251948320,89.53
2000-09-01,85965,10711,34.11,4.25,0.12,281421906,252012614,89.55
2000-10-01,86467,11023,34.43,4.39,0.13,281421906,251103241,89.23
2000-11-01,83902,10576,33.47,4.22,0.13,281421906,250695451,89.08
2000-12-01,172853,27011,69.06,10.79,0.16,281421906,250309101,88.94
2001-01-01,86181,11400,33.19,4.39,0.13,284796887,259641366,91.17
2001-02-01,73728,9364,28.43,3.61,0.13,284796887,259370715,91.07
2001-03-01,82803,10950,31.94,4.22,0.13,284796887,259250006,91.03
2001-04-01,81081,10486,31.31,4.05,0.13,284796887,258935694,90.92
2001-05-01,85484,10876,33.08,4.21,0.13,284796887,258454389,90.75
2001-06-01,107220,11895,41.52,4.61,0.11,284796887,258267665,90.68
2001-07-01,95294,11647,36.93,4.51,0.12,284796887,258067654,90.61
2001-08-01,94313,12514,36.61,4.86,0.13,284796887,257611227,90.45
2001-09-01,92002,10502,35.72,4.08,0.11,284796887,257580604,90.44
2001-10-01,98829,11855,38.47,4.61,0.12,284796887,256898230,90.2
2001-11-01,93553,10714,36.35,4.16,0.11,284796887,257333645,90.36
2001-12-01,185891,25538,72.51,9.96,0.14,284796887,256360679,90.02
2002-01-01,93716,12473,35.07,4.67,0.13,288368698,267197533,92.66
2002-02-01,78425,10696,29.4,4.01,0.14,288368698,266775775,92.51
2002-03-01,88684,11957,33.27,4.49,0.13,288368698,266560966,92.44
2002-04-01,85094,11823,31.95,4.44,0.14,288368698,266360847,92.37
