Month,Total Crimes,Clearances,Prosecuted %,Crime(Per 100k),Prosecutions(Per 100k),Total Pop,Partic Pop,Pop Coverage
2000-01-01,30538,7656,0.25,11.99,3.01,281421906,254741154,90.52
2000-02-01,25429,6896,0.27,10.0,2.71,281421906,254315123,90.37
2000-03-01,27522,7186,0.26,10.83,2.83,281421906,254039019,90.27
2000-04-01,26725,6607,0.25,10.53,2.6,281421906,253740964,90.16
2000-05-01,28826,7228,0.25,11.37,2.85,281421906,253586618,90.11
2000-06-01,35780,6722,0.19,14.1,2.65,281421906,253720224,90.16
2000-07-01,30965,7152,0.23,12.26,2.83,281421906,252526837,89.73
2000-08-01,31709,7402,0.23,12.59,2.94,281421906,251948320,89.53
2000-09-01,30328,7203,0.24,12.03,2.86,281421906,252012614,89.55
2000-10-01,32251,7115,0.22,12.84,2.83,281421906,251103241,89.23
2000-11-01,30787,6952,0.23,12.28,2.77,281421906,250695451,89.08
2000-12-01,63780,17337,0.27,25.48,6.93,281421906,250309101,88.94
2001-01-01,30583,7279,0.24,11.78,2.8,284796887,259641366,91.17
2001-02-01,24134,6772,0.28,9.3,2.61,284796887,259370715,91.07
2001-03-01,28182,7202,0.26,10.87,2.78,284796887,259250006,91.03
2001-04-01,27405,6915,0.25,10.58,2.67,284796887,258935694,90.92
2001-05-01,29806,7138,0.24,11.53,2.76,284796887,258454389,90.75
2001-06-01,38096,7709,0.2,14.75,2.98,284796887,258267665,90.68
2001-07-01,32104,7397,0.23,12.44,2.87,284796887,258067654,90.61
2001-08-01,31929,7776,0.24,12.39,3.02,284796887,257611227,90.45
2001-09-01,31671,7062,0.22,12.3,2.74,284796887,257580604,90.44
2001-10-01,35533,7797,0.22,13.83,3.04,284796887,256898230,90.2
2001-11-01,33737,7321,0.22,13.11,2.84,284796887,257333645,90.36
2001-12-01,67231,16229,0.24,26.23,6.33,284796887,256360679,90.02
2002-01-01,32207,7874,0.24,12.05,2.95,288368698,267197533,92.66
2002-02-01,24641,6552,0.27,9.24,2.46,288368698,266775775,92.51
2002-03-01,27791,7056,0.25,10.43,2.65,288368698,266560966,92.44
2002-04-01,27151,7868,0.29,10.19,2.95,288368698,266360847,92.37
2002-05-01,29299,7906,0.27,11.01,2.97,288368698,266043657,92.26
2002-06-01,37636,7916,0.21,14.16,2.98,288368698,265867503,92.2
2002-07-01,29807,6575,0.22,11.21,2.47,288368698,265892875,92.21
2002-08-01,30403,7034,0.23,11.44,2.65,288368698,265791299,92.17
2002-09-01,37742,6864,0.18,14.22,2.59,288368698,265487393,92.07
2002-10-01,30736,7301,0.24,11.6,2.75,288368698,265017748,91.9
2002-11-01,29200,6121,0.21,11.03,2.31,288368698,264770687,91.82
2002-12-01,72507,16278,0.22,27.4,6.15,288368698,264656793,91.78
2003-01-01,28389,6536,0.23,10.53,2.42,290809777,269658252,92.73
2003-02-01,21591,5987,0.28,8.04,2.23,290809777,268429754,92.3
2003-03-01,32802,6881,0.21,12.2,2.56,290809777,268968934,92.49
2003-04-01,26513,6314,0.24,9.91,2.36,290809777,267660991,92.04
2003-05-01,28062,7028,0.25,10.5,2.63,290809777,267239198,91.89
