State,Year,Total Crimes,Violent_Total_Crimes,Property_Total_Crimes,Total Clearances,Prosecuted %,Violent_Crime_Rate,Property_Crime_Rate,Total_Crime_Rate,Total Pop,Partic Pop,Pop Coverage,Poverty Count,Poverty Rate
AK,2000,24436.0,3160.0,21276.0,7362.0,30.13,504.04,3393.67,3897.71,626932,580124,92.53,,
AK,2001,24906.0,3381.0,21525.0,7084.0,28.44,532.53,3390.34,3922.87,634892,592608,93.34,,
AK,2002,26643.0,3489.0,23154.0,7644.0,28.69,541.95,3596.54,4138.49,643786,632333,98.22,,
AK,2003,27833.0,3790.0,24043.0,7722.0,27.74,584.14,3705.66,4289.8,648818,632621,97.5,,
AK,2004,25871.0,4085.0,21786.0,7802.0,30.16,623.25,3323.9,3947.15,655435,639285,97.54,,
AK,2005,27750.0,4131.0,23619.0,7271.0,26.2,622.46,3558.9,4181.35,663661,650601,98.03,,
AK,2006,28410.0,4567.0,23843.0,8476.0,29.83,681.59,3558.38,4239.96,670053,660708,98.61,,
AK,2007,27487.0,4474.0,23013.0,8133.0,29.59,654.59,3367.04,4021.64,683478,674326,98.66,,
AK,2008,24529.0,4453.0,20076.0,7564.0,30.84,648.85,2925.28,3574.13,686293,681192,99.26,,
AK,2009,24941.0,4401.0,20540.0,6699.0,26.86,630.09,2940.7,3570.79,698473,693296,99.26,64038.0,9.17
AK,2010,24801.0,4517.0,20284.0,6464.0,26.06,635.99,2855.97,3491.96,710231,705891,99.39,64245.0,9.05
AK,2011,23576.0,4393.0,19183.0,6237.0,26.45,607.84,2654.29,3262.13,722718,718303,99.39,65111.0,9.01
AK,2012,24484.0,4392.0,20092.0,6841.0,27.94,600.45,2746.88,3347.33,731449,726997,99.39,66631.0,9.11
AK,2013,25922.0,4685.0,21237.0,7254.0,27.98,637.3,2888.87,3526.17,735132,730730,99.4,69514.0,9.46
AK,2014,25023.0,4662.0,20361.0,6503.0,25.99,632.79,2763.69,3396.49,736732,732371,99.41,71866.0,9.75
AK,2015,26256.0,5370.0,20886.0,6732.0,25.64,727.22,2828.43,3555.64,738432,734820,99.51,72957.0,9.88
AK,2016,30862.0,5950.0,24912.0,6991.0,22.65,802.0,3357.89,4159.89,741894,738566,99.55,72826.0,9.82
AK,2017,32549.0,6324.0,26225.0,7351.0,22.58,854.83,3544.9,4399.73,739795,736205,99.51,73380.0,9.92
AK,2018,30957.0,6536.0,24421.0,7682.0,24.82,886.31,3311.6,4197.91,737438,733747,99.5,77865.0,10.56
AK,2019,27820.0,6347.0,21473.0,7319.0,26.31,867.62,2935.29,3802.91,731545,727792,99.49,76933.0,10.52
AK,2020,22655.0,6105.0,16550.0,6019.0,26.57,834.98,2263.53,3098.51,731158,727540,99.51,74369.0,10.17
AK,2021,7465.0,2388.0,5077.0,2157.0,28.89,325.93,692.94,1018.87,732673,410910,56.08,75016.0,10.24
AK,2022,19134.0,5668.0,13466.0,5310.0,27.75,772.65,1835.65,2608.29,733583,728061,99.25,75227.0,10.25
AK,2023,19233.0,5330.0,13903.0,5390.0,28.02,726.75,1895.68,2622.42,733406,728197,99.29,72978.0,9.95
AL,2000,169754.0,17993.0,151761.0,20654.0,12.17,404.6,3412.58,3817.18,4447100,3579233,80.48,,
AL,2001,165423.0,16793.0,148630.0,23515.0,14.22,376.16,3329.26,3705.42,4464356,3751149,84.02,,
