Month,Total Crimes,Clearances,Prosecuted %,Crime(Per 100k),Prosecutions(Per 100k),Total Pop,Partic Pop,Pop Coverage
2000-01-01,136541,15989,0.12,53.6,6.28,281421906,254741154,90.52
2000-02-01,121601,15361,0.13,47.82,6.04,281421906,254315123,90.37
2000-03-01,136231,17580,0.13,53.63,6.92,281421906,254039019,90.27
2000-04-01,130786,16108,0.12,51.54,6.35,281421906,253740964,90.16
2000-05-01,143827,17501,0.12,56.72,6.9,281421906,253586618,90.11
2000-06-01,170793,17836,0.1,67.32,7.03,281421906,253720224,90.16
2000-07-01,154578,18634,0.12,61.21,7.38,281421906,252526837,89.73
2000-08-01,154248,19487,0.13,61.22,7.73,281421906,251948320,89.53
2000-09-01,145317,17447,0.12,57.66,6.92,281421906,252012614,89.55
2000-10-01,144803,17694,0.12,57.67,7.05,281421906,251103241,89.23
2000-11-01,137284,16018,0.12,54.76,6.39,281421906,250695451,89.08
2000-12-01,320290,46327,0.14,127.96,18.51,281421906,250309101,88.94
2001-01-01,137486,16733,0.12,52.95,6.44,284796887,259641366,91.17
2001-02-01,115173,15111,0.13,44.4,5.83,284796887,259370715,91.07
2001-03-01,134482,17307,0.13,51.87,6.68,284796887,259250006,91.03
2001-04-01,134963,16523,0.12,52.12,6.38,284796887,258935694,90.92
2001-05-01,145524,17724,0.12,56.31,6.86,284796887,258454389,90.75
2001-06-01,174089,18654,0.11,67.41,7.22,284796887,258267665,90.68
2001-07-01,158597,18896,0.12,61.46,7.32,284796887,258067654,90.61
2001-08-01,159584,18918,0.12,61.95,7.34,284796887,257611227,90.45
2001-09-01,152603,17535,0.11,59.24,6.81,284796887,257580604,90.44
2001-10-01,162932,18271,0.11,63.42,7.11,284796887,256898230,90.2
2001-11-01,154244,17429,0.11,59.94,6.77,284796887,257333645,90.36
2001-12-01,345180,45046,0.13,134.65,17.57,284796887,256360679,90.02
2002-01-01,153101,18818,0.12,57.3,7.04,288368698,267197533,92.66
2002-02-01,124169,15790,0.13,46.54,5.92,288368698,266775775,92.51
2002-03-01,138590,18019,0.13,51.99,6.76,288368698,266560966,92.44
2002-04-01,140471,18553,0.13,52.74,6.97,288368698,266360847,92.37
2002-05-01,151714,19157,0.13,57.03,7.2,288368698,266043657,92.26
2002-06-01,178231,19893,0.11,67.04,7.48,288368698,265867503,92.2
2002-07-01,161367,19113,0.12,60.69,7.19,288368698,265892875,92.21
2002-08-01,159352,19025,0.12,59.95,7.16,288368698,265791299,92.17
2002-09-01,163483,18612,0.11,61.58,7.01,288368698,265487393,92.07
2002-10-01,154093,18815,0.12,58.14,7.1,288368698,265017748,91.9
2002-11-01,142605,15886,0.11,53.86,6.0,288368698,264770687,91.82
2002-12-01,356740,47762,0.13,134.79,18.05,288368698,264656793,91.78
2003-01-01,143253,16814,0.12,53.12,6.24,290809777,269658252,92.73
2003-02-01,112915,15063,0.13,42.07,5.61,290809777,268429754,92.3
2003-03-01,145774,17843,0.12,54.2,6.63,290809777,268968934,92.49
2003-04-01,142942,17464,0.12,53.4,6.52,290809777,267660991,92.04
2003-05-01,151790,18966,0.12,56.8,7.1,290809777,267239198,91.89
2003-06-01,186833,21015,0.11,69.99,7.87,290809777,266936170,91.79
2003-07-01,161774,19477,0.12,60.73,7.31,290809777,266401781,91.61
2003-08-01,158958,18939,0.12,59.69,7.11,290809777,266290613,91.57
2003-09-01,164653,18400,0.11,61.87,6.91,290809777,266141867,91.52
2003-10-01,156213,18577,0.12,58.68,6.98,290809777,266194700,91.54
2003-11-01,144304,16717,0.12,54.29,6.29,290809777,265821183,91.41
2003-12-01,350526,46552,0.13,132.23,17.56,290809777,265089169,91.16
2004-01-01,141715,16964,0.12,51.31,6.14,293655404,276203773,94.06
2004-02-01,120287,15160,0.13,43.58,5.49,293655404,276002127,93.99
2004-03-01,148499,17786,0.12,53.88,6.45,293655404,275601619,93.85
2004-04-01,140368,17793,0.13,50.96,6.46,293655404,275441342,93.8
2004-05-01,149355,17647,0.12,54.23,6.41,293655404,275406977,93.79
2004-06-01,192069,22011,0.11,69.85,8.01,293655404,274958264,93.63
2004-07-01,161691,19319,0.12,58.91,7.04,293655404,274486608,93.47
2004-08-01,160494,19201,0.12,58.54,7.0,293655404,274150903,93.36
2004-09-01,160327,18563,0.12,58.63,6.79,293655404,273445932,93.12
2004-10-01,154369,17676,0.11,56.36,6.45,293655404,273893074,93.27
2004-11-01,151355,16569,0.11,55.39,6.06,293655404,273236328,93.05
2004-12-01,353125,45375,0.13,129.21,16.6,293655404,273286189,93.06
2005-01-01,143882,16868,0.12,51.76,6.07,296410404,277998335,93.79
2005-02-01,119292,15242,0.13,42.97,5.49,296410404,277610250,93.66
2005-03-01,145839,17751,0.12,52.61,6.4,296410404,277203187,93.52
2005-04-01,142095,17040,0.12,51.3,6.15,296410404,276994196,93.45
2005-05-01,154251,18662,0.12,55.73,6.74,296410404,276772196,93.37
2005-06-01,193132,22147,0.11,69.83,8.01,296410404,276584627,93.31
2005-07-01,164793,19375,0.12,59.68,7.02,296410404,276112869,93.15
2005-08-01,167414,20772,0.12,60.7,7.53,296410404,275793812,93.04
2005-09-01,166391,19205,0.12,60.42,6.97,296410404,275402725,92.91
