Month,Total Crimes,Clearances,Prosecuted %,Crime(Per 100k),Prosecutions(Per 100k),Total Pop,Partic Pop,Pop Coverage
2000-01-01,1164,698,0.6,0.46,0.27,281421906,254741154,90.52
2000-02-01,1010,635,0.63,0.4,0.25,281421906,254315123,90.37
2000-03-01,1053,661,0.63,0.41,0.26,281421906,254039019,90.27
2000-04-01,1060,642,0.61,0.42,0.25,281421906,253740964,90.16
2000-05-01,1171,713,0.61,0.46,0.28,281421906,253586618,90.11
2000-06-01,1421,682,0.48,0.56,0.27,281421906,253720224,90.16
2000-07-01,1277,694,0.54,0.51,0.27,281421906,252526837,89.73
2000-08-01,1284,736,0.57,0.51,0.29,281421906,251948320,89.53
2000-09-01,1182,695,0.59,0.47,0.28,281421906,252012614,89.55
2000-10-01,1200,654,0.55,0.48,0.26,281421906,251103241,89.23
2000-11-01,1065,642,0.6,0.42,0.26,281421906,250695451,89.08
2000-12-01,2332,1521,0.65,0.93,0.61,281421906,250309101,88.94
2001-01-01,1162,716,0.62,0.45,0.28,284796887,259641366,91.17
2001-02-01,904,573,0.63,0.35,0.22,284796887,259370715,91.07
2001-03-01,1051,654,0.62,0.41,0.25,284796887,259250006,91.03
2001-04-01,1143,614,0.54,0.44,0.24,284796887,258935694,90.92
2001-05-01,1203,712,0.59,0.47,0.28,284796887,258454389,90.75
2001-06-01,1452,776,0.53,0.56,0.3,284796887,258267665,90.68
2001-07-01,1349,715,0.53,0.52,0.28,284796887,258067654,90.61
2001-08-01,1287,773,0.6,0.5,0.3,284796887,257611227,90.45
2001-09-01,1237,646,0.52,0.48,0.25,284796887,257580604,90.44
2001-10-01,1322,765,0.58,0.51,0.3,284796887,256898230,90.2
2001-11-01,1223,668,0.55,0.48,0.26,284796887,257333645,90.36
2001-12-01,2509,1549,0.62,0.98,0.6,284796887,256360679,90.02
2002-01-01,1210,775,0.64,0.45,0.29,288368698,267197533,92.66
2002-02-01,996,636,0.64,0.37,0.24,288368698,266775775,92.51
2002-03-01,1170,692,0.59,0.44,0.26,288368698,266560966,92.44
2002-04-01,1154,718,0.62,0.43,0.27,288368698,266360847,92.37
2002-05-01,1168,715,0.61,0.44,0.27,288368698,266043657,92.26
2002-06-01,1462,798,0.55,0.55,0.3,288368698,265867503,92.2
2002-07-01,1352,731,0.54,0.51,0.27,288368698,265892875,92.21
2002-08-01,1288,751,0.58,0.48,0.28,288368698,265791299,92.17
2002-09-01,1529,734,0.48,0.58,0.28,288368698,265487393,92.07
2002-10-01,1188,750,0.63,0.45,0.28,288368698,265017748,91.9
2002-11-01,1105,621,0.56,0.42,0.23,288368698,264770687,91.82
2002-12-01,2522,1570,0.62,0.95,0.59,288368698,264656793,91.78
2003-01-01,1103,656,0.59,0.41,0.24,290809777,269658252,92.73
2003-02-01,979,637,0.65,0.36,0.24,290809777,268429754,92.3
2003-03-01,1318,652,0.49,0.49,0.24,290809777,268968934,92.49
2003-04-01,1194,698,0.58,0.45,0.26,290809777,267660991,92.04
2003-05-01,1232,698,0.57,0.46,0.26,290809777,267239198,91.89
2003-06-01,1593,766,0.48,0.6,0.29,290809777,266936170,91.79
2003-07-01,1364,781,0.57,0.51,0.29,290809777,266401781,91.61
2003-08-01,1306,705,0.54,0.49,0.26,290809777,266290613,91.57
2003-09-01,1383,707,0.51,0.52,0.27,290809777,266141867,91.52
2003-10-01,1191,742,0.62,0.45,0.28,290809777,266194700,91.54
2003-11-01,1118,636,0.57,0.42,0.24,290809777,265821183,91.41
2003-12-01,2617,1625,0.62,0.99,0.61,290809777,265089169,91.16
2004-01-01,1108,676,0.61,0.4,0.24,293655404,276203773,94.06
2004-02-01,956,627,0.66,0.35,0.23,293655404,276002127,93.99
2004-03-01,1334,659,0.49,0.48,0.24,293655404,275601619,93.85
2004-04-01,1149,744,0.65,0.42,0.27,293655404,275441342,93.8
2004-05-01,1222,691,0.57,0.44,0.25,293655404,275406977,93.79
2004-06-01,1602,813,0.51,0.58,0.3,293655404,274958264,93.63
2004-07-01,1338,748,0.56,0.49,0.27,293655404,274486608,93.47
2004-08-01,1327,761,0.57,0.48,0.28,293655404,274150903,93.36
2004-09-01,1375,744,0.54,0.5,0.27,293655404,273445932,93.12
2004-10-01,1159,665,0.57,0.42,0.24,293655404,273893074,93.27
2004-11-01,1118,657,0.59,0.41,0.24,293655404,273236328,93.05
2004-12-01,2541,1451,0.57,0.93,0.53,293655404,273286189,93.06
2005-01-01,1116,655,0.59,0.4,0.24,296410404,277998335,93.79
2005-02-01,1049,646,0.62,0.38,0.23,296410404,277610250,93.66
2005-03-01,1293,753,0.58,0.47,0.27,296410404,277203187,93.52
2005-04-01,1152,622,0.54,0.42,0.22,296410404,276994196,93.45
2005-05-01,1332,816,0.61,0.48,0.29,296410404,276772196,93.37
2005-06-01,1749,892,0.51,0.63,0.32,296410404,276584627,93.31
2005-07-01,1434,759,0.53,0.52,0.27,296410404,276112869,93.15
2005-08-01,1391,784,0.56,0.5,0.28,296410404,275793812,93.04
2005-09-01,1346,693,0.51,0.49,0.25,296410404,275402725,92.91
2005-10-01,1282,733,0.57,0.47,0.27,296410404,275127933,92.82
2005-11-01,1197,694,0.58,0.44,0.25,296410404,274999351,92.78
2005-12-01,2590,1516,0.59,0.94,0.55,296410404,274851887,92.73
2006-01-01,1244,709,0.57,0.43,0.25,299398484,287438196,96.01
2006-02-01,955,554,0.58,0.33,0.19,299398484,286931187,95.84
2006-03-01,1291,701,0.54,0.45,0.24,299398484,286906632,95.83
2006-04-01,1232,682,0.55,0.43,0.24,299398484,286275551,95.62
2006-05-01,1256,704,0.56,0.44,0.25,299398484,286904762,95.83
