Month,Total Crimes,Clearances,Prosecuted %,Crime(Per 100k),Prosecutions(Per 100k),Total Pop,Partic Pop,Pop Coverage
2000-01-01,439488,77771,0.18,172.52,30.53,281421906,254741154,90.52
2000-02-01,421592,76617,0.18,165.78,30.13,281421906,254315123,90.37
2000-03-01,477851,85067,0.18,188.1,33.49,281421906,254039019,90.27
2000-04-01,455380,77750,0.17,179.47,30.64,281421906,253740964,90.16
2000-05-01,496039,82168,0.17,195.61,32.4,281421906,253586618,90.11
2000-06-01,600370,81577,0.14,236.63,32.15,281421906,253720224,90.16
2000-07-01,526358,78805,0.15,208.44,31.21,281421906,252526837,89.73
2000-08-01,527355,82430,0.16,209.31,32.72,281421906,251948320,89.53
2000-09-01,490466,77685,0.16,194.62,30.83,281421906,252012614,89.55
2000-10-01,500358,80545,0.16,199.26,32.08,281421906,251103241,89.23
2000-11-01,455161,76642,0.17,181.56,30.57,281421906,250695451,89.08
2000-12-01,1013139,199316,0.2,404.76,79.63,281421906,250309101,88.94
2001-01-01,456745,79742,0.17,175.91,30.71,284796887,259641366,91.17
2001-02-01,401613,72310,0.18,154.84,27.88,284796887,259370715,91.07
2001-03-01,466998,82749,0.18,180.13,31.92,284796887,259250006,91.03
2001-04-01,472815,79199,0.17,182.6,30.59,284796887,258935694,90.92
2001-05-01,508347,82508,0.16,196.69,31.92,284796887,258454389,90.75
2001-06-01,606743,87222,0.14,234.93,33.77,284796887,258267665,90.68
2001-07-01,537417,81436,0.15,208.25,31.56,284796887,258067654,90.61
2001-08-01,538016,82828,0.15,208.85,32.15,284796887,257611227,90.45
2001-09-01,500749,76149,0.15,194.4,29.56,284796887,257580604,90.44
2001-10-01,535311,82787,0.15,208.37,32.23,284796887,256898230,90.2
2001-11-01,488929,79914,0.16,190.0,31.05,284796887,257333645,90.36
2001-12-01,1061834,191929,0.18,414.2,74.87,284796887,256360679,90.02
2002-01-01,483511,85277,0.18,180.96,31.92,288368698,267197533,92.66
2002-02-01,417271,76496,0.18,156.41,28.67,288368698,266775775,92.51
2002-03-01,469242,85594,0.18,176.04,32.11,288368698,266560966,92.44
2002-04-01,482570,85268,0.18,181.17,32.01,288368698,266360847,92.37
2002-05-01,508497,87443,0.17,191.13,32.87,288368698,266043657,92.26
2002-06-01,602072,89946,0.15,226.46,33.83,288368698,265867503,92.2
2002-07-01,535763,83156,0.16,201.5,31.27,288368698,265892875,92.21
2002-08-01,531844,84122,0.16,200.1,31.65,288368698,265791299,92.17
2002-09-01,537935,80402,0.15,202.62,30.28,288368698,265487393,92.07
2002-10-01,513174,86002,0.17,193.64,32.45,288368698,265017748,91.9
2002-11-01,460509,79335,0.17,173.93,29.96,288368698,264770687,91.82
2002-12-01,1087478,201439,0.19,410.9,76.11,288368698,264656793,91.78
2003-01-01,455296,79314,0.17,168.84,29.41,290809777,269658252,92.73
2003-02-01,388082,72163,0.19,144.57,26.88,290809777,268429754,92.3
2003-03-01,499931,83486,0.17,185.87,31.04,290809777,268968934,92.49
2003-04-01,477656,81585,0.17,178.46,30.48,290809777,267660991,92.04
2003-05-01,500655,84417,0.17,187.34,31.59,290809777,267239198,91.89
2003-06-01,624081,90732,0.15,233.79,33.99,290809777,266936170,91.79
2003-07-01,530111,82424,0.16,198.99,30.94,290809777,266401781,91.61
2003-08-01,519438,80373,0.15,195.06,30.18,290809777,266290613,91.57
2003-09-01,537680,81261,0.15,202.03,30.53,290809777,266141867,91.52
2003-10-01,508287,84388,0.17,190.95,31.7,290809777,266194700,91.54
2003-11-01,455842,78105,0.17,171.48,29.38,290809777,265821183,91.41
2003-12-01,1080148,202651,0.19,407.47,76.45,290809777,265089169,91.16
2004-01-01,451809,81698,0.18,163.58,29.58,293655404,276203773,94.06
2004-02-01,410120,77001,0.19,148.59,27.9,293655404,276002127,93.99
2004-03-01,512021,88117,0.17,185.78,31.97,293655404,275601619,93.85
2004-04-01,471515,83104,0.18,171.19,30.17,293655404,275441342,93.8
2004-05-01,495846,84050,0.17,180.04,30.52,293655404,275406977,93.79
2004-06-01,641335,97895,0.15,233.25,35.6,293655404,274958264,93.63
2004-07-01,520337,83163,0.16,189.57,30.3,293655404,274486608,93.47
2004-08-01,517168,84187,0.16,188.64,30.71,293655404,274150903,93.36
2004-09-01,522383,80787,0.15,191.04,29.54,293655404,273445932,93.12
2004-10-01,505209,83387,0.17,184.45,30.45,293655404,273893074,93.27
2004-11-01,468059,79834,0.17,171.3,29.22,293655404,273236328,93.05
2004-12-01,1062820,195530,0.18,388.9,71.55,293655404,273286189,93.06
2005-01-01,440382,78273,0.18,158.41,28.16,296410404,277998335,93.79
2005-02-01,392705,72376,0.18,141.46,26.07,296410404,277610250,93.66
2005-03-01,489375,84787,0.17,176.54,30.59,296410404,277203187,93.52
2005-04-01,470654,81860,0.17,169.91,29.55,296410404,276994196,93.45
2005-05-01,493952,84972,0.17,178.47,30.7,296410404,276772196,93.37
2005-06-01,635432,96179,0.15,229.74,34.77,296410404,276584627,93.31
2005-07-01,516814,82708,0.16,187.17,29.95,296410404,276112869,93.15
2005-08-01,527870,85247,0.16,191.4,30.91,296410404,275793812,93.04
2005-09-01,516159,79147,0.15,187.42,28.74,296410404,275402725,92.91
2005-10-01,494367,82231,0.17,179.69,29.89,296410404,275127933,92.82
2005-11-01,449092,77136,0.17,163.31,28.05,296410404,274999351,92.78
2005-12-01,977136,179459,0.18,355.51,65.29,296410404,274851887,92.73
2006-01-01,464719,79101,0.17,161.68,27.52,299398484,287438196,96.01
2006-02-01,387616,69127,0.18,135.09,24.09,299398484,286931187,95.84
2006-03-01,483123,77384,0.16,168.39,26.97,299398484,286906632,95.83
2006-04-01,451825,72068,0.16,157.83,25.17,299398484,286275551,95.62
2006-05-01,495197,79031,0.16,172.6,27.55,299398484,286904762,95.83
2006-06-01,634026,90051,0.14,221.32,31.43,299398484,286479504,95.69
2006-07-01,511484,76183,0.15,178.5,26.59,299398484,286538183,95.7
2006-08-01,516992,79726,0.15,180.29,27.8,299398484,286752482,95.78
2006-09-01,509195,76228,0.15,177.71,26.6,299398484,286531259,95.7
2006-10-01,484499,79697,0.16,169.14,27.82,299398484,286455971,95.68
2006-11-01,450471,76852,0.17,157.36,26.85,299398484,286269912,95.62
2006-12-01,978950,173777,0.18,341.93,60.7,299398484,286303155,95.63
2007-01-01,444147,76026,0.17,152.46,26.1,301621157,291321863,96.59
2007-02-01,371356,67049,0.18,127.55,23.03,301621157,291151776,96.53
2007-03-01,482666,80384,0.17,165.95,27.64,301621157,290845305,96.43
2007-04-01,456101,78252,0.17,156.89,26.92,301621157,290712120,96.38
2007-05-01,499895,84128,0.17,172.04,28.95,301621157,290561967,96.33
2007-06-01,640029,95802,0.15,220.05,32.94,301621157,290855727,96.43
2007-07-01,520259,84042,0.16,178.92,28.9,301621157,290776630,96.4
2007-08-01,512982,84800,0.17,176.57,29.19,301621157,290530730,96.32
2007-09-01,507722,79500,0.16,174.9,27.39,301621157,290290508,96.24
2007-10-01,490871,85259,0.17,169.12,29.37,301621157,290253048,96.23
2007-11-01,449854,82531,0.18,155.24,28.48,301621157,289785425,96.08
2007-12-01,984477,194279,0.2,340.34,67.16,301621157,289266728,95.9
2008-01-01,441013,86508,0.2,149.83,29.39,304059724,294343215,96.8
2008-02-01,384940,77222,0.2,130.96,26.27,304059724,293930032,96.67
2008-03-01,470304,86500,0.18,159.78,29.39,304059724,294347025,96.81
2008-04-01,462676,90333,0.2,157.18,30.69,304059724,294353363,96.81
2008-05-01,484142,89972,0.19,164.56,30.58,304059724,294198906,96.76
2008-06-01,639118,102879,0.16,217.42,35.0,304059724,293954456,96.68
2008-07-01,526985,90971,0.17,179.21,30.94,304059724,294058806,96.71
2008-08-01,516908,88877,0.17,175.8,30.23,304059724,294038028,96.7
2008-09-01,518913,86012,0.17,176.54,29.26,304059724,293934875,96.67
2008-10-01,498854,92407,0.19,169.87,31.47,304059724,293671771,96.58
2008-11-01,436920,85586,0.2,148.75,29.14,304059724,293731181,96.6
2008-12-01,1000628,206510,0.21,340.9,70.35,304059724,293527891,96.54
2009-01-01,413118,86118,0.21,138.69,28.91,307006550,297872157,97.02
2009-02-01,364327,78513,0.22,122.3,26.36,307006550,297902742,97.03
2009-03-01,455204,88884,0.2,152.91,29.86,307006550,297701439,96.97
2009-04-01,440167,87253,0.2,147.95,29.33,307006550,297505478,96.91
2009-05-01,469577,90776,0.19,157.78,30.5,307006550,297612822,96.94
2009-06-01,615369,108664,0.18,206.87,36.53,307006550,297467155,96.89
2009-07-01,502014,93013,0.19,168.94,31.3,307006550,297149727,96.79
2009-08-01,498635,92727,0.19,167.94,31.23,307006550,296914289,96.71
2009-09-01,502558,89472,0.18,169.44,30.17,307006550,296600302,96.61
2009-10-01,470053,92623,0.2,158.58,31.25,307006550,296413155,96.55
2009-11-01,438418,88212,0.2,148.18,29.81,307006550,295873229,96.37
2009-12-01,979534,214890,0.22,330.91,72.6,307006550,296009686,96.42
2010-01-01,411980,88618,0.22,135.76,29.2,308745538,303465956,98.29
2010-02-01,345693,77182,0.22,114.01,25.45,308745538,303225863,98.21
2010-03-01,462652,91470,0.2,152.56,30.16,308745538,303254029,98.22
