Month,Total Crimes,Clearances,Prosecuted %,Crime(Per 100k),Prosecutions(Per 100k),Total Pop,Partic Pop,Pop Coverage
2000-01-01,81434,10442,0.13,31.97,4.1,281421906,254741154,90.52
2000-02-01,74199,9707,0.13,29.18,3.82,281421906,254315123,90.37
2000-03-01,80952,10819,0.13,31.87,4.26,281421906,254039019,90.27
2000-04-01,75912,9297,0.12,29.92,3.66,281421906,253740964,90.16
2000-05-01,81478,10444,0.13,32.13,4.12,281421906,253586618,90.11
2000-06-01,102169,10589,0.1,40.27,4.17,281421906,253720224,90.16
2000-07-01,88553,11268,0.13,35.07,4.46,281421906,252526837,89.73
2000-08-01,90176,11374,0.13,35.79,4.51,281421906,251948320,89.53
2000-09-01,85965,10711,0.12,34.11,4.25,281421906,252012614,89.55
2000-10-01,86467,11023,0.13,34.43,4.39,281421906,251103241,89.23
2000-11-01,83902,10576,0.13,33.47,4.22,281421906,250695451,89.08
2000-12-01,172853,27011,0.16,69.06,10.79,281421906,250309101,88.94
2001-01-01,86181,11400,0.13,33.19,4.39,284796887,259641366,91.17
2001-02-01,73728,9364,0.13,28.43,3.61,284796887,259370715,91.07
2001-03-01,82803,10950,0.13,31.94,4.22,284796887,259250006,91.03
2001-04-01,81081,10486,0.13,31.31,4.05,284796887,258935694,90.92
2001-05-01,85484,10876,0.13,33.08,4.21,284796887,258454389,90.75
2001-06-01,107220,11895,0.11,41.52,4.61,284796887,258267665,90.68
2001-07-01,95294,11647,0.12,36.93,4.51,284796887,258067654,90.61
2001-08-01,94313,12514,0.13,36.61,4.86,284796887,257611227,90.45
2001-09-01,92002,10502,0.11,35.72,4.08,284796887,257580604,90.44
2001-10-01,98829,11855,0.12,38.47,4.61,284796887,256898230,90.2
2001-11-01,93553,10714,0.11,36.35,4.16,284796887,257333645,90.36
2001-12-01,185891,25538,0.14,72.51,9.96,284796887,256360679,90.02
2002-01-01,93716,12473,0.13,35.07,4.67,288368698,267197533,92.66
2002-02-01,78425,10696,0.14,29.4,4.01,288368698,266775775,92.51
2002-03-01,88684,11957,0.13,33.27,4.49,288368698,266560966,92.44
2002-04-01,85094,11823,0.14,31.95,4.44,288368698,266360847,92.37
2002-05-01,88446,12085,0.14,33.24,4.54,288368698,266043657,92.26
2002-06-01,109043,12811,0.12,41.01,4.82,288368698,265867503,92.2
2002-07-01,95038,11859,0.12,35.74,4.46,288368698,265892875,92.21
2002-08-01,94031,11574,0.12,35.38,4.35,288368698,265791299,92.17
2002-09-01,99522,11126,0.11,37.49,4.19,288368698,265487393,92.07
2002-10-01,93377,11646,0.12,35.23,4.39,288368698,265017748,91.9
2002-11-01,89113,10264,0.12,33.66,3.88,288368698,264770687,91.82
2002-12-01,188978,27035,0.14,71.4,10.22,288368698,264656793,91.78
2003-01-01,90559,10825,0.12,33.58,4.01,290809777,269658252,92.73
2003-02-01,76143,9830,0.13,28.37,3.66,290809777,268429754,92.3
2003-03-01,93607,11002,0.12,34.8,4.09,290809777,268968934,92.49
2003-04-01,87076,10361,0.12,32.53,3.87,290809777,267660991,92.04
2003-05-01,89089,10623,0.12,33.34,3.98,290809777,267239198,91.89
2003-06-01,115385,12439,0.11,43.23,4.66,290809777,266936170,91.79
2003-07-01,95402,12027,0.13,35.81,4.51,290809777,266401781,91.61
2003-08-01,95810,10952,0.11,35.98,4.11,290809777,266290613,91.57
2003-09-01,99879,10872,0.11,37.53,4.09,290809777,266141867,91.52
2003-10-01,94488,11023,0.12,35.5,4.14,290809777,266194700,91.54
2003-11-01,89808,10109,0.11,33.79,3.8,290809777,265821183,91.41
2003-12-01,187052,26929,0.14,70.56,10.16,290809777,265089169,91.16
2004-01-01,91486,10731,0.12,33.12,3.89,293655404,276203773,94.06
2004-02-01,80170,9810,0.12,29.05,3.55,293655404,276002127,93.99
2004-03-01,93624,10919,0.12,33.97,3.96,293655404,275601619,93.85
2004-04-01,84634,10319,0.12,30.73,3.75,293655404,275441342,93.8
2004-05-01,89008,10365,0.12,32.32,3.76,293655404,275406977,93.79
2004-06-01,115361,12430,0.11,41.96,4.52,293655404,274958264,93.63
2004-07-01,92795,11376,0.12,33.81,4.14,293655404,274486608,93.47
2004-08-01,92647,10797,0.12,33.79,3.94,293655404,274150903,93.36
2004-09-01,93577,10632,0.11,34.22,3.89,293655404,273445932,93.12
2004-10-01,92547,10613,0.11,33.79,3.87,293655404,273893074,93.27
2004-11-01,90087,9975,0.11,32.97,3.65,293655404,273236328,93.05
2004-12-01,184334,25443,0.14,67.45,9.31,293655404,273286189,93.06
2005-01-01,91354,10498,0.11,32.86,3.78,296410404,277998335,93.79
2005-02-01,77521,9601,0.12,27.92,3.46,296410404,277610250,93.66
2005-03-01,92140,10952,0.12,33.24,3.95,296410404,277203187,93.52
2005-04-01,85446,10384,0.12,30.85,3.75,296410404,276994196,93.45
2005-05-01,89614,10852,0.12,32.38,3.92,296410404,276772196,93.37
2005-06-01,113950,13164,0.12,41.2,4.76,296410404,276584627,93.31
2005-07-01,95519,11699,0.12,34.59,4.24,296410404,276112869,93.15
2005-08-01,97305,12210,0.13,35.28,4.43,296410404,275793812,93.04
2005-09-01,96768,11003,0.11,35.14,4.0,296410404,275402725,92.91
2005-10-01,96596,10916,0.11,35.11,3.97,296410404,275127933,92.82
2005-11-01,91031,10421,0.11,33.1,3.79,296410404,274999351,92.78
2005-12-01,171269,24449,0.14,62.31,8.9,296410404,274851887,92.73
2006-01-01,93993,10896,0.12,32.7,3.79,299398484,287438196,96.01
2006-02-01,77267,9424,0.12,26.93,3.28,299398484,286931187,95.84
2006-03-01,92325,10434,0.11,32.18,3.64,299398484,286906632,95.83
2006-04-01,84327,9505,0.11,29.46,3.32,299398484,286275551,95.62
2006-05-01,88308,10393,0.12,30.78,3.62,299398484,286904762,95.83
2006-06-01,114461,12343,0.11,39.95,4.31,299398484,286479504,95.69
2006-07-01,93866,10768,0.11,32.76,3.76,299398484,286538183,95.7
2006-08-01,94225,11202,0.12,32.86,3.91,299398484,286752482,95.78
2006-09-01,91832,10016,0.11,32.05,3.5,299398484,286531259,95.7
2006-10-01,91438,10230,0.11,31.92,3.57,299398484,286455971,95.68
2006-11-01,86506,9856,0.11,30.22,3.44,299398484,286269912,95.62
2006-12-01,166806,24219,0.15,58.26,8.46,299398484,286303155,95.63
2007-01-01,86237,10110,0.12,29.6,3.47,301621157,291321863,96.59
2007-02-01,71703,8562,0.12,24.63,2.94,301621157,291151776,96.53
2007-03-01,84449,9839,0.12,29.04,3.38,301621157,290845305,96.43
2007-04-01,80584,9450,0.12,27.72,3.25,301621157,290712120,96.38
2007-05-01,84055,9874,0.12,28.93,3.4,301621157,290561967,96.33
2007-06-01,107300,11315,0.11,36.89,3.89,301621157,290855727,96.43
2007-07-01,86621,9973,0.12,29.79,3.43,301621157,290776630,96.4
2007-08-01,86662,10260,0.12,29.83,3.53,301621157,290530730,96.32
2007-09-01,84739,9187,0.11,29.19,3.16,301621157,290290508,96.24
2007-10-01,82211,9065,0.11,28.32,3.12,301621157,290253048,96.23
2007-11-01,75517,8214,0.11,26.06,2.83,301621157,289785425,96.08
2007-12-01,150987,21346,0.14,52.2,7.38,301621157,289266728,95.9
2008-01-01,76129,9137,0.12,25.86,3.1,304059724,294343215,96.8
2008-02-01,64410,7696,0.12,21.91,2.62,304059724,293930032,96.67
2008-03-01,74030,7979,0.11,25.15,2.71,304059724,294347025,96.81
2008-04-01,69026,8113,0.12,23.45,2.76,304059724,294353363,96.81
2008-05-01,71646,7920,0.11,24.35,2.69,304059724,294198906,96.76
2008-06-01,95132,9690,0.1,32.36,3.3,304059724,293954456,96.68
2008-07-01,77878,8597,0.11,26.48,2.92,304059724,294058806,96.71
2008-08-01,77125,8282,0.11,26.23,2.82,304059724,294038028,96.7
2008-09-01,75562,7662,0.1,25.71,2.61,304059724,293934875,96.67
2008-10-01,69636,7569,0.11,23.71,2.58,304059724,293671771,96.58
2008-11-01,64549,6757,0.1,21.98,2.3,304059724,293731181,96.6
2008-12-01,129412,18377,0.14,44.09,6.26,304059724,293527891,96.54
